MariaDB [ds_knock]> select
    -> age,
    -> '00' as gender_cd,
    -> male as amount
    -> from sales_summary
    -> union
    -> select age,
    -> '01' as gender_cd,
    -> female as amount
    -> from sales_summary
    -> union
    -> select age,
    -> '99' as gender_cd,
    -> unknown as amount
    -> from sales_summary;
+------+-----------+---------+
| age  | gender_cd | amount  |
+------+-----------+---------+
| 10s  | 00        |    1591 |
| 20s  | 00        |   72940 |
| 30s  | 00        |  177322 |
| 40s  | 00        |   19355 |
| 50s  | 00        |   54320 |
| 60s  | 00        |  272469 |
| 70s  | 00        |   13435 |
| 80s  | 00        |   46360 |
| 90s  | 00        |       0 |
| 10s  | 01        |  149836 |
| 20s  | 01        | 1363724 |
| 30s  | 01        |  693047 |
| 40s  | 01        | 9320791 |
| 50s  | 01        | 6685192 |
| 60s  | 01        |  987741 |
| 70s  | 01        |   29764 |
| 80s  | 01        |  262923 |
| 90s  | 01        |    6260 |
| 10s  | 99        |    4317 |
| 20s  | 99        |   44328 |
| 30s  | 99        |   50441 |
| 40s  | 99        |  483512 |
| 50s  | 99        |  342923 |
| 60s  | 99        |   71418 |
| 70s  | 99        |    2427 |
| 80s  | 99        |    5111 |
| 90s  | 99        |       0 |
+------+-----------+---------+
27 rows in set (0.013 sec)
